ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
23,Kagawa University,https://cdn.adscientificindex.com/logos/4700.png,77,Public,Kagawa,7000,1949,81878321000,koho@kagawa-u.ac.jp,https://www.kagawa-u.ac.jp/,"medicine, agriculture",Kagawa University was founded in 1949 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
24,Kagoshima University,https://cdn.adscientificindex.com/logos/4702.jpg,54,Public,Kagoshima,11000,1949,81992857111,kouhou@kuas.kagoshima-u.ac.jp,https://www.kagoshima-u.ac.jp/,"medicine, agriculture",Kagoshima University was founded in 1949 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
25,Kanazawa University,https://cdn.adscientificindex.com/logos/4730.jpg,19,Public,Ishikawa,11000,1949,81762645111,kouhou@adm.kanazawa-u.ac.jp,https://www.kanazawa-u.ac.jp/,"medicine, pharmacy, humanities","Kanazawa University was founded in 1949 and they are popular for medicine, pharmacy and humanities.",True,True,True,True,True,True,True,True,True,True,True
26,Kanda University of International Studies,https://cdn.adscientificindex.com/logos/13155.png,35,Private,Chiba,4000,1987,81473391111,kouhou@kanda.kuis.ac.jp,https://www.kandagaigo.ac.jp/,"linguistics, international studies",Kanda University of International Studies was founded in 1987 and they are popular for linguistics and international studies.,True,False,False,False,False,False,False,False,True,False,False
27,Kansai Gaidai University,https://cdn.adscientificindex.com/logos/4737.jpg,65,Private,Osaka,12000,1945,81756111101,kouhou@kansaigaidai.ac.jp,https://www.kansaigaidai.ac.jp/,"foreign languages, international studies",Kansai Gaidai University was founded in 1945 and they are popular for foreign languages and international studies.,True,False,True,True,False,False,False,False,True,False,True
28,Kansai University,https://cdn.adscientificindex.com/logos/4739.jpg,52,Private,Osaka,22000,1922,81663681121,kouhou@kansai-u.ac.jp,https://www.kansai-u.ac.jp/,"law, business",Kansai University was founded in 1922 and they are popular for law and business.,True,True,True,True,True,True,True,True,True,True,True
29,Keio University,https://cdn.adscientificindex.com/logos/4829.jpg,12,Private,Tokyo,34000,1858,81354271540,info@adst.keio.ac.jp,https://www.keio.ac.jp/ja/,"business, economics, medicine, law","Keio University was founded in 1858 and they are popular for business, economics, medicine and law.",True,True,True,True,True,True,True,True,True,True,True
30,Kindai University,https://cdn.adscientificindex.com/logos/28211.png,65,Private,Osaka,36000,1943,81643073007,kokusai@kindai.ac.jp,https://www.kindai.ac.jp/,"medicine, agriculture",Kindai University was founded in 1943 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
31,Kobe City University of Foreign Studies,https://cdn.adscientificindex.com/logos/4963.png,69,Public,Hyogo,2000,1949,81787948136,koho@office.kobe-cufs.ac.jp,https://www.kobe-cufs.ac.jp/,"foreign languages, international studies",Kobe City University of Foreign Studies was founded in 1949 and they are popular for foreign languages and international studies.,True,False,False,False,False,False,False,False,True,False,False
32,Kobe University,https://cdn.adscientificindex.com/logos/4970.jpg,15,Public,Hyogo,16000,1902,81788811212,kouhou@office.kobe-u.ac.jp,https://www.kobe-u.ac.jp/ja/,"economics, business, medicine","Kobe University was founded in 1902 and they are popular for economics, business and medicine.",True,True,True,True,True,True,True,True,True,True,True
33,Kochi University,https://cdn.adscientificindex.com/logos/4976.jpg,100,Public,Kochi,3000,1949,81888448111,kouhou@kochi-u.ac.jp,https://www.kochi-u.ac.jp/,"medicine, agriculture",Kochi University was founded in 1949 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
34,Kochi University of Technology,https://cdn.adscientificindex.com/logos/4977.png,79,Public,Kochi,10000,1997,81887531130,kouhou@ml.kochi-tech.ac.jp,https://www.kochi-tech.ac.jp/,"engineering, information technology",Kochi University of Technology was founded in 1997 and they are popular for engineering and information technology.,True,True,True,True,True,False,False,True,True,True,True
35,Kumamoto University,https://cdn.adscientificindex.com/logos/5048.jpg,23,Public,Kumamoto,10000,1949,81963442111,sos-kikaku@jimu.kumamoto-u.ac.jp,https://www.kumamoto-u.ac.jp/,"medicine, pharmacy, engineering","Kumamoto University was founded in 1949 and they are popular for medicine, pharmacy and engineering.",True,True,True,True,True,True,True,True,True,True,True
36,Kwansei Gakuin University,https://cdn.adscientificindex.com/logos/5078.jpg,45,Private,Hyogo,26000,1912,81795657600,kouhou@kwansei.ac.jp,https://www.kwansei.ac.jp/,"business, literature",Kwansei Gakuin University was founded in 1912 and they are popular for business and literature.,True,True,True,True,True,True,True,True,True,True,True
37,Kyoto Institute of Technology,https://cdn.adscientificindex.com/logos/5101.jpg,31,Public,Kyoto,4000,1949,81757247000,kouhou@kit.ac.jp,https://www.kit.ac.jp/,"engineering, design",Kyoto Institute of Technology was founded in 1949 and they are popular for engineering and design.,True,False,True,False,True,False,False,True,False,False,True
38,Kyoto University,https://cdn.adscientificindex.com/logos/5108.jpg,4,Public,Kyoto,23000,1897,81757537531,webmaster@www.kyoto-u.ac.jp,https://www.kyoto-u.ac.jp/,"engineering, medicine, physics, chemistry, law","Kyoto University was founded in 1897 and they are popular for engineering, medicine, physics, chemistry and law.",True,True,True,True,True,True,True,True,True,True,True
39,Kyoto University of Foreign Studies,https://cdn.adscientificindex.com/logos/24126.png,96,Private,Kyoto,5000,1959,81753226035,global@kufs.ac.jp,https://www.kufs.ac.jp/,"foreign languages, international studies",Kyoto University of Foreign Studies was founded in 1959 and they are popular for foreign languages and international studies.,True,False,False,False,False,False,False,False,True,False,False
40,Kyushu Institute of Technology,https://cdn.adscientificindex.com/logos/5126.jpg,37,Public,Fukuoka,9000,1907,81938843000,kouhou@jimu.kyutech.ac.jp,https://www.kyutech.ac.jp/,"engineering, materials science",Kyushu Institute of Technology was founded in 1907 and they are popular for engineering and materials science.,True,False,False,False,True,False,False,True,True,False,True
41,Kyushu University,https://cdn.adscientificindex.com/logos/5130.jpg,5,Public,Fukuoka,19000,1911,81926422111,soumu@jimu.kyushu-u.ac.jp,https://www.kyushu-u.ac.jp/ja/,"medicine, engineering, agriculture","Kyushu University was founded in 1911 and they are popular for medicine, engineering and agriculture.",True,True,True,True,True,True,True,True,True,True,True
42,Meiji University,https://cdn.adscientificindex.com/logos/5647.jpg,47,Private,Tokyo,35000,1881,81332964545,koho@mics.meiji.ac.jp,https://www.meiji.ac.jp/cip/,"law, business, agriculture","Meiji University was founded in 1881 and they are popular for law, business and agriculture.",True,True,True,True,True,True,False,True,True,True,True
43,Mie University,https://cdn.adscientificindex.com/logos/5731.jpg,83,Public,Mie,6000,1949,81592319000,koho@ab.mie-u.ac.jp,https://www.mie-u.ac.jp/,"medicine, engineering",Mie University was founded in 1949 and they are popular for medicine and engineering.,True,True,True,True,True,True,True,True,True,True,True
44,Musashi University,https://cdn.adscientificindex.com/logos/13291.png,81,Private,Tokyo,4000,1949,81359843711,koho@sec.musashi.ac.jp,https://www.musashi.ac.jp/,"economics, humanities",Musashi University was founded in 1949 and they are popular for economics and humanities.,True,True,True,True,True,True,True,True,True,True,True
45,Nagaoka University of Technology,https://cdn.adscientificindex.com/logos/5983.jpg,29,Public,Niigata,3000,1976,81258470001,kouhou@jcom.nagaokaut.ac.jp,https://www.nagaokaut.ac.jp/,"engineering, technology",Nagaoka University of Technology was founded in 1976 and they are popular for engineering and technology.,True,False,False,False,True,False,False,True,False,False,True
46,Nagasaki University,https://cdn.adscientificindex.com/logos/5986.jpg,26,Public,Nagasaki,10000,1949,81958192011,koho@nagasaki-u.ac.jp,https://www.nagasaki-u.ac.jp/,medicine,Nagasaki University was founded in 1949 and they are popular for medicine.,True,True,True,True,True,True,True,True,True,True,True
47,Nagoya City University,https://cdn.adscientificindex.com/logos/5988.jpg,34,Public,Aichi,5000,1950,81528538023,kikaku@sec.nagoya-cu.ac.jp,https://www.nagoya-cu.ac.jp/,"medicine, nursing",Nagoya City University was founded in 1950 and they are popular for medicine and nursing.,True,True,True,True,True,True,True,True,True,True,True
48,Nagoya Institute of Technology,https://cdn.adscientificindex.com/logos/5989.png,49,Public,Aichi,7000,1905,81527355016,kouhou@nitech.ac.jp,https://www.nitech.ac.jp/,"engineering, architecture",Nagoya Institute of Technology was founded in 1905 and they are popular for engineering and architecture.,True,False,True,False,True,False,True,True,False,False,True
49,Nagoya University,https://cdn.adscientificindex.com/logos/5991.jpg,7,Public,Aichi,16000,1939,81527895111,koho@adm.nagoya-u.ac.jp,https://www.nagoya-u.ac.jp/,"engineering, physics, medicine","Nagoya University was founded in 1939 and they are popular for engineering, physics and medicine.",True,True,True,True,True,True,True,True,True,True,True
50,Nagoya University of Commerce and Business,https://cdn.adscientificindex.com/logos/5993.jpg,98,Private,Aichi,4000,1953,81568272111,kouhou@nucba.ac.jp,https://www.nucba.ac.jp/,"business, management",Nagoya University of Commerce and Business was founded in 1953 and they are popular for business and management.,True,False,False,True,False,False,False,False,True,False,True
51,Nanzan University,https://cdn.adscientificindex.com/logos/6039.png,56,Private,Aichi,10000,1949,81528323111,koho@nanzan-u.ac.jp,https://www.nanzan-u.ac.jp/,"theology, foreign languages",Nanzan University was founded in 1949 and they are popular for theology and foreign languages.,True,True,True,True,True,True,True,True,True,True,True
52,Nara Women's University,https://cdn.adscientificindex.com/logos/6045.png,70,Public,Nara,19000,1908,81742203999,kouhou@cc.nara-wu.ac.jp,https://www.nara-wu.ac.jp/,science,Nara Women's University was founded in 1908 and they are popular for science.,True,True,False,False,True,False,True,True,True,False,True
53,Niigata University,https://cdn.adscientificindex.com/logos/6346.jpg,46,Public,Niigata,13000,1922,81252626098,koho@adm.niigata-u.ac.jp,https://www.niigata-u.ac.jp/,"medicine, dentistry",Niigata University was founded in 1922 and they are popular for medicine and dentistry.,True,True,True,True,True,True,True,True,True,False,True
54,Obihiro University of Agriculture and Veterinary Medicine,https://cdn.adscientificindex.com/logos/6526.png,65,Private,Hokkaido,2000,1941,81155495211,koho@obihiro.ac.jp,https://www.obihiro.ac.jp/,"veterinary medicine, agriculture",Obihiro University of Agriculture and Veterinary Medicine was founded in 1941 and they are popular for veterinary medicine and agriculture.,True,True,False,True,False,False,False,False,True,False,False
55,Ochanomizu University,https://cdn.adscientificindex.com/logos/6534.jpg,38,Public,Tokyo,2000,1874,81359785105,koho@cc.ocha.ac.jp,https://www.ocha.ac.jp/,psychology,Ochanomizu University was founded in 1874 and they are popular for psychology.,True,True,True,True,True,True,True,True,True,True,True
56,Okayama University,https://cdn.adscientificindex.com/logos/6558.jpg,20,Public,Okayama,14000,1922,81862517111,soumu@adm.okayama-u.ac.jp,https://www.okayama-u.ac.jp/,"medicine, engineering, agriculture","Okayama University was founded in 1922 and they are popular for medicine, engineering and agriculture.",True,True,True,True,True,True,True,True,True,True,True
57,Osaka Metropolitan University,https://cdn.adscientificindex.com/logos/28273.jpg,33,Public,Osaka,16000,1880,81666053501,s-kikaku@omu.ac.jp,https://www.omu.ac.jp/,"medicine, engineering",Osaka Metropolitan University was founded in 1880 and they are popular for medicine and engineering.,True,True,True,True,True,True,True,True,True,True,True
58,Osaka University,https://cdn.adscientificindex.com/logos/6630.jpg,6,Public,Osaka,24000,1931,81668797092,ryaku-soumu@office.osaka-u.ac.jp,https://www.osaka-u.ac.jp/,"medicine, engineering, physics, biotechnology","Osaka University was founded in 1931 and they are popular for medicine, engineering, physics and biotechnology.",True,True,True,True,True,True,True,True,True,True,True
59,Rikkyo University,https://cdn.adscientificindex.com/logos/7302.jpg,40,Private,Tokyo,9000,1874,81339852202,koho@rikkyo.ac.jp,https://www.rikkyo.ac.jp/,"business, literature",Rikkyo University was founded in 1874 and they are popular for business and literature.,True,True,True,True,True,True,True,True,True,True,True
60,Ritsumeikan Asia Pacific University,https://cdn.adscientificindex.com/logos/7311.png,22,Private,Oita,7000,2000,81977781111,apu-info@apu.ac.jp,https://www.apu.ac.jp/,"international business, international relations",Ritsumeikan Asia Pacific University was founded in 2000 and they are popular for international business and international relations.,True,True,True,True,True,True,True,True,True,True,True
61,Ritsumeikan University,https://cdn.adscientificindex.com/logos/7312.jpg,28,Private,Kyoto,37000,1899,81754658163,koho-st@st.ritsumei.ac.jp,https://www.ritsumei.ac.jp/,international relations,Ritsumeikan University was founded in 1899 and they are popular for international relations.,True,True,True,True,True,True,True,True,True,True,True
62,Saga University,https://cdn.adscientificindex.com/logos/7448.jpg,51,Public,Saga,9000,1920,81952288111,kouhou@cc.saga-u.ac.jp,https://www.saga-u.ac.jp/,"medicine, agriculture",Saga University was founded in 1920 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
63,Saitama University,https://cdn.adscientificindex.com/logos/7536.jpg,72,Public,Saitama,2000,1949,81488583036,kouhou@gr.saitama-u.ac.jp,https://www.saitama-u.ac.jp/,"education, engineering",Saitama University was founded in 1949 and they are popular for education and engineering.,True,True,True,True,True,True,True,True,True,True,True
64,Shibaura Institute of Technology,https://cdn.adscientificindex.com/logos/8033.jpg,32,Private,Tokyo,10000,1949,81358597000,kouhou@shibaura-it.ac.jp,https://www.shibaura-it.ac.jp/,"engineering, robotics",Shibaura Institute of Technology was founded in 1949 and they are popular for engineering and robotics.,True,False,True,False,True,False,False,False,False,False,True
65,Shiga University of Medical Science,https://cdn.adscientificindex.com/logos/8038.jpg,99,Public,Shiga,2000,1974,81775482111,koho@belle.shiga-med.ac.jp,https://www.shiga-med.ac.jp/,"medicine, medical research",Shiga University of Medical Science was founded in 1974 and they are popular for medicine and medical research.,True,False,False,False,False,False,True,False,False,False,False
66,Shimane University,https://cdn.adscientificindex.com/logos/8045.jpg,72,Public,Shimane,6000,1949,81852326000,koho@riko.shimane-u.ac.jp,https://www.shimane-u.ac.jp/,"medicine, agriculture",Shimane University was founded in 1949 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
67,Shinshu University,https://cdn.adscientificindex.com/logos/8048.jpg,58,Public,Nagano,11000,1949,81262695111,kokusai@shinshu-u.ac.jp,https://www.shinshu-u.ac.jp/,medicine,Shinshu University was founded in 1949 and they are popular for medicine.,True,True,True,True,True,True,True,True,True,True,True
68,Shizuoka University,https://cdn.adscientificindex.com/logos/8059.jpg,93,Public,Shizuoka,11000,1949,81542384006,kokusai@adb.shizuoka.ac.jp,https://www.shizuoka.ac.jp/,"engineering, agriculture",Shizuoka University was founded in 1949 and they are popular for engineering and agriculture.,True,True,True,True,True,True,True,True,True,True,True
69,Showa Women's University,https://cdn.adscientificindex.com/logos/8070.png,97,Private,Tokyo,7000,1920,81334115111,koho@swu.ac.jp,https://www.swu.ac.jp/,nursing,Showa Women's University was founded in 1920 and they are popular for nursing.,True,True,True,True,False,False,True,False,True,False,True
70,Soka University,https://cdn.adscientificindex.com/logos/8222.jpg,61,Private,Tokyo,7000,1971,81426912211,koho@soka.ac.jp,https://www.soka.ac.jp/,"education, international relations",Soka University was founded in 1971 and they are popular for education and international relations.,True,True,True,True,True,True,True,True,True,True,True
71,Sophia University,https://cdn.adscientificindex.com/logos/8241.jpg,24,Private,Tokyo,14000,1913,81332383172,pr-coord@sophia.ac.jp,https://www.sophia.ac.jp/,"foreign studies, theology, philosophy","Sophia University was founded in 1913 and they are popular for foreign studies, theology and philosophy.",True,True,True,True,True,True,True,True,True,True,True
72,St. Luke's International University,https://cdn.adscientificindex.com/logos/8479.png,56,Private,Tokyo,2000,1964,81335436391,koho@luke.ac.jp,https://www.luke.ac.jp/,"nursing, medicine",St. Luke's International University was founded in 1964 and they are popular for nursing and medicine.,True,False,False,False,False,False,True,False,False,False,False
73,The University of Aizu,https://cdn.adscientificindex.com/logos/10801.png,27,Public,Fukushima,2000,1993,81242372500,info@u-aizu.ac.jp,https://www.u-aizu.ac.jp/,"computer science, information technology",The University of Aizu was founded in 1993 and they are popular for computer science and information technology.,True,True,True,True,True,True,True,False,True,True,True
74,The University of Electro-Communications,https://cdn.adscientificindex.com/logos/10986.png,42,Public,Tokyo,5000,1949,81424435000,kouhou@office.uec.ac.jp,https://www.uec.ac.jp/,"electronics, information technology",The University of Electro-Communications was founded in 1949 and they are popular for electronics and information technology.,True,False,False,False,True,False,False,False,False,False,True
75,The University of Kitakyushu,https://cdn.adscientificindex.com/logos/4947.png,64,Public,Fukuoka,7000,1946,81939644000,kouhou@kitakyu-u.ac.jp,https://www.kitakyu-u.ac.jp/,"engineering, environmental science",The University of Kitakyushu was founded in 1946 and they are popular for engineering and environmental science.,True,False,True,True,True,True,True,True,True,True,True
76,The University of Tokyo,https://cdn.adscientificindex.com/logos/11504.jpg,3,Public,Tokyo,29000,1877,81358412111,kouhou@adm.u-tokyo.ac.jp,https://www.u-tokyo.ac.jp/,"law, medicine, engineering, economics","The University of Tokyo was founded in 1877 and they are popular for law, medicine, engineering and economics.",True,True,True,True,True,True,True,True,True,True,True
77,Tohoku University,https://cdn.adscientificindex.com/logos/8927.png,1,Public,Miyagi,18000,1907,81222174844,eng-somgrp@grp.tohoku.ac.jp,https://www.tohoku.ac.jp/japanese/,"materials science, engineering, medicine, physics","Tohoku University was founded in 1907 and they are popular for materials science, engineering, medicine and physics.",True,True,True,True,True,True,True,True,True,True,True
78,Tokushima University,https://cdn.adscientificindex.com/logos/11503.png,88,Public,Tokushima,8000,1949,81886567001,kouhou@tokushima-u.ac.jp,https://www.tokushima-u.ac.jp/,"medicine, engineering",Tokushima University was founded in 1949 and they are popular for medicine and engineering.,True,True,True,True,True,True,True,True,True,True,True
79,Tokyo Medical and Dental University,https://cdn.adscientificindex.com/logos/8950.png,18,Public,Tokyo,3000,1946,81358035111,soumu.adm@tmd.ac.jp,https://www.tmd.ac.jp/,"dentistry, medicine",Tokyo Medical and Dental University was founded in 1946 and they are popular for dentistry and medicine.,True,False,False,False,False,False,True,True,True,True,True
80,Tokyo University of Agriculture and Technology,https://cdn.adscientificindex.com/logos/8956.jpg,21,Public,Tokyo,6000,1949,81423675821,kouhou@cc.tuat.ac.jp,https://www.tuat.ac.jp/,"agriculture, biotechnology, engineering","Tokyo University of Agriculture and Technology was founded in 1949 and they are popular for agriculture, biotechnology and engineering.",True,True,False,False,True,False,True,True,False,False,True
81,Tokyo University of Foreign Studies,https://cdn.adscientificindex.com/logos/8957.jpg,25,Public,Tokyo,5000,1873,81423305170,koho@tufs.ac.jp,https://www.tufs.ac.jp/,linguistics,Tokyo University of Foreign Studies was founded in 1873 and they are popular for linguistics.,True,False,False,True,False,True,False,False,True,False,False
82,Tokyo University of Marine Science and Technology,https://cdn.adscientificindex.com/logos/8959.png,35,Public,Tokyo,3000,1875,81354630400,kouhou@o.kaiyodai.ac.jp,https://www.kaiyodai.ac.jp/,"marine science, engineering",Tokyo University of Marine Science and Technology was founded in 1875 and they are popular for marine science and engineering.,True,True,False,True,True,False,False,True,True,True,True
83,Tokyo University of Science,https://cdn.adscientificindex.com/logos/8961.jpg,39,Private,Tokyo,71000,1881,81471241501,kouhou@admin.tus.ac.jp,https://www.tus.ac.jp/,"science, engineering",Tokyo University of Science was founded in 1881 and they are popular for science and engineering.,True,True,True,True,True,False,True,True,True,False,True
84,Tottori University,https://cdn.adscientificindex.com/logos/8984.jpg,78,Public,Tottori,7000,1949,81857315001,kohosien@adm.tottori-u.ac.jp,https://www.tottori-u.ac.jp/,"medicine, agriculture",Tottori University was founded in 1949 and they are popular for medicine and agriculture.,True,True,True,True,True,True,True,True,True,True,True
85,Toyo University,https://cdn.adscientificindex.com/logos/8999.jpg,79,Private,Tokyo,5000,1887,81339454515,koho@toyo.jp,https://www.toyo.ac.jp/,"business, philosophy",Toyo University was founded in 1887 and they are popular for business and philosophy.,True,True,True,True,True,True,True,True,True,True,True
86,Toyohashi University of Technology,https://cdn.adscientificindex.com/logos/9000.png,40,Public,Aichi,1000,1976,81532446577,kouhou@office.tut.ac.jp,https://www.tut.ac.jp/,"engineering, electronics",Toyohashi University of Technology was founded in 1976 and they are popular for engineering and electronics.,True,False,True,False,True,False,False,True,False,False,True
87,Toyota Technological Institute,https://cdn.adscientificindex.com/logos/9002.jpg,91,Institution,Aichi,5000,1981,81528091870,tti-koho@toyota-ti.ac.jp,https://www.toyota-ti.ac.jp/,"engineering, information technology",Toyota Technological Institute was founded in 1981 and they are popular for engineering and information technology.,True,False,False,False,True,False,False,True,False,False,True
88,Tsuda University,https://cdn.adscientificindex.com/logos/9043.jpg,68,Private,Tokyo,4000,1900,81423425111,koho@tsuda.ac.jp,https://www.tsuda.ac.jp/,international relations,Tsuda University was founded in 1900 and they are popular for international relations.,True,True,True,True,True,True,True,True,True,True,True
89,University of Fukui,https://cdn.adscientificindex.com/logos/11013.jpg,82,Public,Fukui,20000,1949,81776278111,kouhou@u-fukui.ac.jp,https://www.agu.ac.jp/,"engineering, medicine",University of Fukui was founded in 1949 and they are popular for engineering and medicine.,True,True,True,True,True,True,True,True,True,True,True
