ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
12,Colorado State University,https://www.topuniversities.com/sites/default/files/colorado-state-university_136_small.jpg,65,Public,Fort Collins,26000,1870,19704911101,admissions@colostate.edu,colostate.edu,"veterinary medicine, engineering, business, agriculture","Colorado State University was founded in 1870 and they are popular for veterinary medicine, engineering, business and agriculture.",False,True,True,True,True,True,True,True,True,True
13,Columbia University,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-48x48.jpg,12,Private,New York City,31000,1754,12128541754,ugrad-ask@columbia.edu,columbia.edu,"business, journalism, law, engineering","Columbia University was founded in 1754 and they are popular for business, journalism, law and engineering.",False,True,True,True,True,True,True,True,True,True
14,Cornell University,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,7,Private,Ithaca,26000,1865,16072552000,admissions@cornell.edu,cornell.edu,"engineering, hotel administration, agriculture, computer science","Cornell University was founded in 1865 and they are popular for engineering, hotel administration, agriculture and computer science.",True,True,True,True,True,True,True,True,False,True
15,Dartmouth College,https://www.topuniversities.com/sites/default/files/dartmouth-college_592560cf2aeae70239af4b1c_small.jpg,44,Private,Hanover,7000,1769,16036461110,admissions.office@dartmouth.edu,dartmouth.edu,"economics, government, engineering, computer science","Dartmouth College was founded in 1769 and they are popular for economics, government, engineering and computer science.",False,True,True,True,True,True,True,True,False,True
16,Duke University,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,18,Private,Durham,18000,1838,19196848111,undergrad-admissions@duke.edu,duke.edu,"public policy, medicine, business, engineering","Duke University was founded in 1838 and they are popular for public policy, medicine, business and engineering.",False,True,True,True,True,True,True,True,False,True
17,Emory University,https://www.topuniversities.com/sites/default/files/emory-university_185_small.jpg,37,Private,Atlanta,14000,1836,14047276123,admiss@emory.edu,emory.edu,"business, medicine, public health, nursing","Emory University was founded in 1836 and they are popular for business, medicine, public health and nursing.",False,True,True,True,True,True,True,True,False,True
18,Florida International University,https://www.topuniversities.com/sites/default/files/florida-international-university_592560cf2aeae70239af4b55_small.jpg,80,Public,Miami,32000,1965,13053482000,admissions@fiu.edu,fiu.edu,"hospitality management, business, engineering, international relations","Florida International University was founded in 1965 and they are popular for hospitality management, business, engineering and international relations.",False,True,True,True,True,True,True,True,False,True
19,Florida State University,https://www.topuniversities.com/sites/default/files/florida-state-university_211_small.jpg,79,Public,Tallahassee,39000,1851,18506442525,admissions@fsu.edu,fsu.edu,"business, criminology, film, meteorology","Florida State University was founded in 1851 and they are popular for business, criminology, film and meteorology.",False,True,True,True,True,True,True,True,False,True
20,George Washington University,https://www.topuniversities.com/sites/default/files/george-washington-university_223_small.jpg,60,Private,Washington D.C.,20000,1821,12029941000,gwadm@gwu.edu,gwu.edu,"international affairs, political science, business, law","George Washington University was founded in 1821 and they are popular for international affairs, political science, business and law.",False,True,True,True,True,True,True,True,False,True
21,Georgetown University,https://www.topuniversities.com/sites/default/files/220714055746am997087Georgetown-48x48.jpg,51,Private,Washington D.C.,18000,1789,12026870100,undergradadmissions@georgetown.edu,georgetown.edu,"international relations, law, business, political science","Georgetown University was founded in 1789 and they are popular for international relations, law, business and political science.",False,True,True,True,True,True,True,True,True,True
22,Georgia Institute of Technology,https://www.topuniversities.com/sites/default/files/250219111124am560242GTVertical-CMYK-48x48.jpg,27,Public,Atlanta,32000,1885,14048942000,admission@gatech.edu,gatech.edu,"engineering, computer science, business, architecture","Georgia Institute of Technology was founded in 1885 and they are popular for engineering, computer science, business and architecture.",False,True,True,True,True,True,True,True,False,True
23,Harvard University,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,2,Private,Cambridge,25000,1636,16174951000,college@fas.harvard.edu,harvard.edu,"law, medicine, business, political science","Harvard University was founded in 1636 and they are popular for law, medicine, business and political science.",False,True,True,True,True,True,True,True,False,True
24,Illinois Institute of Technology,https://www.topuniversities.com/sites/default/files/230109044608pm870090ILTECH-red-stacked-logo-48x48.jpg,84,Private,Chicago,7000,1890,13125673000,admission@iit.edu,iit.edu,"engineering, architecture, computer science, business","Illinois Institute of Technology was founded in 1890 and they are popular for engineering, architecture, computer science and business.",False,True,True,True,True,True,True,True,False,True
25,Indiana University Bloomington,https://www.topuniversities.com/sites/default/files/indiana-university-bloomington_289_small.jpg,58,Public,Bloomington,47000,1820,18128550661,iuadmit@indiana.edu,iu.edu,"business, music, public health, informatics","Indiana University Bloomington was founded in 1820 and they are popular for business, music, public health and informatics.",True,True,True,True,True,True,True,True,True,False
26,Iowa State University,https://www.topuniversities.com/sites/default/files/iowa-state-university_294_small.jpg,70,Public,Ames,26000,1858,15152945836,admissions@iastate.edu,iastate.edu,"engineering, agriculture, business, design","Iowa State University was founded in 1858 and they are popular for engineering, agriculture, business and design.",False,True,True,True,True,True,True,True,True,True
27,Johns Hopkins University,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,11,Private,Baltimore,17000,1876,14105168000,gotojhu@jhu.edu,jhu.edu,"medicine, public health, engineering, international studies","Johns Hopkins University was founded in 1876 and they are popular for medicine, public health, engineering and international studies.",False,True,True,True,True,True,True,True,False,True
28,Lehigh University,https://www.topuniversities.com/sites/default/files/230505060940pm345928Lehigh-for-social-48x48.jpg,90,Private,Bethlehem,7000,1865,16107583000,admissions@lehigh.edu,lehigh.edu,"engineering, business, computer science, finance","Lehigh University was founded in 1865 and they are popular for engineering, business, computer science and finance.",False,True,True,True,True,True,True,True,False,True
29,Massachusetts Institute of Technology,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,1,Private,Cambridge,12000,1861,16172531000,admissions@mit.edu,mit.edu,"engineering, computer science, physics, economics","Massachusetts Institute of Technology was founded in 1861 and they are popular for engineering, computer science, physics and economics.",False,True,True,True,True,False,True,True,False,True
30,Michigan State University,https://www.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg,32,Public,East Lansing,46000,1855,15173551855,admissions@msu.edu,msu.edu,"business, education, engineering, hospitality business","Michigan State University was founded in 1855 and they are popular for business, education, engineering and hospitality business.",False,True,True,True,True,True,True,True,False,True
31,Missouri University of Science and Technology,https://www.topuniversities.com/sites/default/files/missouri-university-of-science-and-technology_592560cf2aeae70239af51e4_small.jpg,76,Public,Rolla,7000,1870,15733414111,admissions@mst.edu,mst.edu,"engineering, computer science, business, mining","Missouri University of Science and Technology was founded in 1870 and they are popular for engineering, computer science, business and mining.",False,True,True,True,True,True,True,True,True,True
32,New York University,https://www.topuniversities.com/sites/default/files/240530125524pm936168NYUShanghai-48x48.jpg,14,Private,New York City,49000,1831,12129981212,admissions@nyu.edu,nyu.edu,"business, film, performing arts, law","New York University was founded in 1831 and they are popular for business, film, performing arts and law.",False,True,True,True,True,True,True,True,False,True
33,North Carolina State University,https://www.topuniversities.com/sites/default/files/north-carolina-state-university_592560cf2aeae70239af4c2a_small.jpg,53,Public,Raleigh,33000,1887,19195152011,undergrad-admissions@ncsu.edu,ncsu.edu,"engineering, textiles, business, veterinary medicine","North Carolina State University was founded in 1887 and they are popular for engineering, textiles, business and veterinary medicine.",False,True,True,True,True,True,True,True,False,True
34,Northeastern University,https://www.topuniversities.com/sites/default/files/northeastern-university_454_small.jpg,63,Private,Boston,31000,1898,16173732000,admissions@northeastern.edu,northeastern.edu,"business, engineering, computer science, health sciences","Northeastern University was founded in 1898 and they are popular for business, engineering, computer science and health sciences.",False,True,True,True,True,True,True,True,False,True
35,Northwestern University,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,16,Private,Evanston,21000,1851,18474913741,ug-admission@northwestern.edu,northwestern.edu,"journalism, engineering, business, performing arts","Northwestern University was founded in 1851 and they are popular for journalism, engineering, business and performing arts.",False,True,True,True,True,True,True,True,False,True
36,Oregon State University,https://www.topuniversities.com/sites/default/files/oregon-state-university_592560cf2aeae70239af4dc3_small.jpg,91,Public,Corvallis,27000,1868,15417371000,osuadmit@oregonstate.edu,oregonstate.edu,"engineering, forestry, business, marine biology","Oregon State University was founded in 1868 and they are popular for engineering, forestry, business and marine biology.",False,True,True,True,True,True,True,True,False,True
37,Pennsylvania State University,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg,24,Public,University Park,48000,1855,18148654700,admissions@psu.edu,psu.edu,"business, engineering, kinesiology, meteorology","Pennsylvania State University was founded in 1855 and they are popular for business, engineering, kinesiology and meteorology.",False,True,True,True,True,True,True,True,False,True
38,Princeton University,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,9,Private,Princeton,9000,1746,16092583000,uaoffice@princeton.edu,princeton.edu,"public policy, engineering, economics, mathematics","Princeton University was founded in 1746 and they are popular for public policy, engineering, economics and mathematics.",False,True,True,True,True,False,True,True,False,True
39,Purdue University,https://www.topuniversities.com/sites/default/files/230619052213pm191066PU-SIG-Logo-RGB--PU-V-Full-RGB-48x48.jpg,25,Public,West Lafayette,45000,1869,17654944600,admissions@purdue.edu,purdue.edu,"engineering, aviation, business, computer science","Purdue University was founded in 1869 and they are popular for engineering, aviation, business and computer science.",False,True,True,True,True,True,True,True,False,True
40,Rensselaer Polytechnic Institute,https://www.topuniversities.com/sites/default/files/rensselaer-polytechnic-institute_522_small.jpg,85,Private,Troy,7000,1824,15182766000,admissions@rpi.edu,rpi.edu,"engineering, computer science, business, architecture","Rensselaer Polytechnic Institute was founded in 1824 and they are popular for engineering, computer science, business and architecture.",False,True,True,True,True,True,True,True,False,True
41,Rice University,https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg,31,Private,Houston,8000,1912,17133480000,admit@rice.edu,rice.edu,"engineering, business, architecture, physics","Rice University was founded in 1912 and they are popular for engineering, business, architecture and physics.",False,True,True,True,True,True,True,True,True,True
42,Rutgers University–New Brunswick,https://www.topuniversities.com/sites/default/files/240206105603pm596685Rutgers-Image-200x200-48x48.jpg,56,Public,New Brunswick,46000,1766,17324454636,admissions@ugadm.rutgers.edu,rutgers.edu,"business, pharmacy, engineering, criminal justice","Rutgers University–New Brunswick was founded in 1766 and they are popular for business, pharmacy, engineering and criminal justice.",False,True,True,True,True,True,True,True,False,True
43,Stanford University,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,3,Private,Stanford,18000,1885,16507232300,admission@stanford.edu,stanford.edu,"computer science, engineering, business, biology","Stanford University was founded in 1885 and they are popular for computer science, engineering, business and biology.",False,True,True,True,True,True,True,True,False,True
44,Stevens Institute of Technology,https://www.topuniversities.com/sites/default/files/stevens-institute-of-technology_592560cf2aeae70239af4db6_small.jpg,96,Private,Hoboken,9000,1870,12012165000,admissions@stevens.edu,stevens.edu,"engineering, computer science, business, cybersecurity","Stevens Institute of Technology was founded in 1870 and they are popular for engineering, computer science, business and cybersecurity.",False,True,True,True,True,True,True,True,False,True
45,"Stony Brook University, State University of New York",https://www.topuniversities.com/sites/default/files/stony-brook-university-state-university-of-new-york_592560cf2aeae70239af4ccb_small.jpg,67,Public,Stony Brook,25000,1957,16316326000,enroll@stonybrook.edu,stonybrook.edu,"health sciences, engineering, computer science, mathematics","Stony Brook University, State University of New York was founded in 1957 and they are popular for health sciences, engineering, computer science and mathematics.",True,True,True,True,True,True,True,True,False,True
46,Temple University,https://www.topuniversities.com/sites/default/files/temple-university_592560cf2aeae70239af4cdd_small.jpg,95,Public,Philadelphia,28000,1884,12152047000,askanowl@temple.edu,temple.edu,"business, media, pharmacy, law","Temple University was founded in 1884 and they are popular for business, media, pharmacy and law.",False,True,True,True,True,True,True,True,False,True
47,Texas A&M University,https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg,33,Public,College Station,65000,1876,19798453211,admissions@tamu.edu,tamu.edu,"engineering, business, agriculture, petroleum engineering","Texas A&M University was founded in 1876 and they are popular for engineering, business, agriculture and petroleum engineering.",False,True,True,True,True,True,True,True,True,True
48,The Ohio State University,https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg,40,Public,Columbus,56000,1870,16142926446,askabuckeye@osu.edu,osu.edu,"business, engineering, psychology, agriculture","The Ohio State University was founded in 1870 and they are popular for business, engineering, psychology and agriculture.",True,True,True,True,True,True,True,True,True,True
49,The University of Arizona,https://www.topuniversities.com/sites/default/files/the-university-of-arizona_26_small.jpg,49,Public,Tucson,37000,1885,15206212211,appinfo@arizona.edu,arizona.edu,"optical sciences, business, astronomy, engineering","The University of Arizona was founded in 1885 and they are popular for optical sciences, business, astronomy and engineering.",False,True,True,True,True,True,True,True,True,True
50,The University of Georgia,https://www.topuniversities.com/sites/default/files/the-university-of-georgia_227_small.jpg,81,Public,Athens,38000,1785,17065423000,undergrad@uga.edu,uga.edu,"business, agriculture, journalism, education","The University of Georgia was founded in 1785 and they are popular for business, agriculture, journalism and education.",False,True,True,True,True,True,True,True,True,True
51,"The University of Tennessee, Knoxville",https://www.topuniversities.com/sites/default/files/the-university-of-tennessee-knoxville_603_small.jpg,71,Public,Knoxville,39000,1794,18659741000,admissions@utk.edu,utk.edu,"business, engineering, agriculture, architecture","The University of Tennessee, Knoxville was founded in 1794 and they are popular for business, engineering, agriculture and architecture.",False,True,True,True,True,True,True,True,False,True
52,Tufts University,https://www.topuniversities.com/sites/default/files/tufts-university_630_small.jpg,57,Private,Medford,13000,1852,16176273170,admissions@tufts.edu,tufts.edu,"international relations, medicine, engineering, child development","Tufts University was founded in 1852 and they are popular for international relations, medicine, engineering and child development.",True,True,True,True,True,True,True,True,False,True
53,Tulane University,https://www.topuniversities.com/sites/default/files/tulane-university_631_small.jpg,89,Private,New Orleans,13000,1834,15048655000,undergrad.admission@tulane.edu,tulane.edu,"public health, business, law, architecture","Tulane University was founded in 1834 and they are popular for public health, business, law and architecture.",False,True,True,True,True,True,True,True,True,True
54,University at Buffalo SUNY,https://www.topuniversities.com/sites/default/files/university-at-buffalo-suny_1888_small.jpg,68,Public,Buffalo,29000,1846,17166452000,ub-admissions@buffalo.edu,buffalo.edu,"engineering, business, pharmacy, architecture","University at Buffalo SUNY was founded in 1846 and they are popular for engineering, business, pharmacy and architecture.",False,True,True,True,True,True,True,True,True,True
55,"University of California, Berkeley",https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,6,Public,Berkeley,43000,1868,15106426000,admissions@berkeley.edu,berkeley.edu,"engineering, computer science, business, economics","University of California, Berkeley was founded in 1868 and they are popular for engineering, computer science, business and economics.",False,True,True,True,True,True,True,True,False,True
56,"University of California, Davis",https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg,30,Public,Davis,39000,1905,15307521011,undergraduateadmissions@ucdavis.edu,ucdavis.edu,"veterinary medicine, agriculture, engineering, environmental science","University of California, Davis was founded in 1905 and they are popular for veterinary medicine, agriculture, engineering and environmental science.",True,True,True,True,True,True,True,True,False,True
57,"University of California, Irvine",https://www.topuniversities.com/sites/default/files/university-of-california-irvine_86_small.jpg,52,Public,Irvine,36000,1965,19498245011,admissions@uci.edu,uci.edu,"criminology, computer science, biology, business","University of California, Irvine was founded in 1965 and they are popular for criminology, computer science, biology and business.",False,True,True,True,True,True,True,True,False,True
58,"University of California, Los Angeles",https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,13,Public,Los Angeles,47000,1919,13108254321,ugadm@ucla.edu,ucla.edu,"film, psychology, engineering, business economics","University of California, Los Angeles was founded in 1919 and they are popular for film, psychology, engineering and business economics.",False,True,True,True,True,True,True,True,False,True
59,"University of California, Riverside",https://www.topuniversities.com/sites/default/files/230328051801pm377649UCR-200x200-48x48.jpg,73,Public,Riverside,26000,1954,19518271012,admissions@ucr.edu,ucr.edu,"business, engineering, environmental science, psychology","University of California, Riverside was founded in 1954 and they are popular for business, engineering, environmental science and psychology.",False,True,True,True,True,True,True,True,False,True
60,"University of California, San Diego",https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,21,Public,San Diego,41000,1960,18585342230,admissionsinfo@ucsd.edu,ucsd.edu,"biology, engineering, computer science, economics","University of California, San Diego was founded in 1960 and they are popular for biology, engineering, computer science and economics.",False,True,True,True,True,True,True,True,False,True
61,"University of California, Santa Barbara",https://www.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg,36,Public,Santa Barbara,26000,1909,18058938000,admissions@sa.ucsb.edu,ucsb.edu,"physics, environmental science, engineering, economics","University of California, Santa Barbara was founded in 1909 and they are popular for physics, environmental science, engineering and economics.",False,True,True,True,True,True,True,True,False,True
62,"University of California, Santa Cruz",https://www.topuniversities.com/sites/default/files/university-of-california-santa-cruz_92_small.jpg,62,Public,Santa Cruz,20000,1965,18314594008,admissions@ucsc.edu,ucsc.edu,"marine biology, computer science, environmental studies, astronomy","University of California, Santa Cruz was founded in 1965 and they are popular for marine biology, computer science, environmental studies and astronomy.",False,True,True,True,True,True,True,True,False,True
63,University of Chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,8,Private,Chicago,17000,1890,17737021234,collegeadmissions@uchicago.edu,uchicago.edu,"economics, business, law, social sciences","University of Chicago was founded in 1890 and they are popular for economics, business, law and social sciences.",False,True,True,True,True,True,True,True,False,True
64,University of Colorado Boulder,https://www.topuniversities.com/sites/default/files/university-of-colorado-boulder_137_small.jpg,55,Public,Boulder,34000,1876,13034921411,apply@colorado.edu,colorado.edu,"aerospace engineering, environmental science, business, physics","University of Colorado Boulder was founded in 1876 and they are popular for aerospace engineering, environmental science, business and physics.",False,True,True,True,True,True,True,True,False,True
65,University of Connecticut,https://www.topuniversities.com/sites/default/files/university-of-connecticut_140_small.jpg,78,Public,Storrs,25000,1881,18604862000,beahusky@uconn.edu,uconn.edu,"business, engineering, pharmacy, education","University of Connecticut was founded in 1881 and they are popular for business, engineering, pharmacy and education.",True,True,True,True,True,True,True,True,False,True
66,University of Delaware,https://www.topuniversities.com/sites/default/files/220714055424am282888Del-logo-48x48.jpg,75,Public,Newark,23000,1743,13028312000,admissions@udel.edu,udel.edu,"chemical engineering, business, marine science, nursing","University of Delaware was founded in 1743 and they are popular for chemical engineering, business, marine science and nursing.",True,True,True,True,True,True,True,True,False,True
67,University of Florida,https://www.topuniversities.com/sites/default/files/university-of-florida_212_small.jpg,41,Public,Gainesville,48000,1853,13523923261,freshman@ufl.edu,ufl.edu,"engineering, business, journalism, pharmacy","University of Florida was founded in 1853 and they are popular for engineering, business, journalism and pharmacy.",True,True,True,True,True,True,True,True,True,True
68,University of Hawaiʻi at Mānoa,https://www.topuniversities.com/sites/default/files/university-of-hawaii-at-maoa_255_small.jpg,72,Public,Honolulu,16000,1907,18089568111,ar-info@hawaii.edu,hawaii.edu,"marine biology, tourism, business, hawaiian studies","University of Hawaiʻi at Mānoa was founded in 1907 and they are popular for marine biology, tourism, business and hawaiian studies.",False,True,True,True,True,True,True,True,False,True
69,University of Houston,https://www.topuniversities.com/sites/default/files/university-of-houston_270_small.jpg,93,Public,Houston,38000,1927,17137431000,admissions@uh.edu,uh.edu,"business, engineering, pharmacy, hotel management","University of Houston was founded in 1927 and they are popular for business, engineering, pharmacy and hotel management.",False,True,True,True,True,True,True,True,True,True
70,University of Illinois Chicago,https://www.topuniversities.com/sites/default/files/university-of-illinois-chicago-uic_592560cf2aeae70239af4b9a_small.jpg,59,Public,Chicago,30000,1965,13129967000,uicadmit@uic.edu,uic.edu,"medicine, business, engineering, nursing","University of Illinois Chicago was founded in 1965 and they are popular for medicine, business, engineering and nursing.",False,True,True,True,True,True,True,True,True,True
71,University of Illinois Urbana-Champaign,https://www.topuniversities.com/sites/default/files/250319093914am927515Illinois-Logo-Full-Color-200x200-48x48.jpg,20,Public,Champaign,51000,1867,12173331000,admissions@illinois.edu,illinois.edu,"engineering, computer science, business, accounting","University of Illinois Urbana-Champaign was founded in 1867 and they are popular for engineering, computer science, business and accounting.",True,True,True,True,True,True,True,True,False,True
72,University of Iowa,https://www.topuniversities.com/sites/default/files/university-of-iowa_592560cf2aeae70239af4baa_small.jpg,82,Public,Iowa City,27000,1847,13193353500,admissions@uiowa.edu,uiowa.edu,"creative writing, business, healthcare, engineering","University of Iowa was founded in 1847 and they are popular for creative writing, business, healthcare and engineering.",False,True,True,True,True,True,True,True,False,True
73,University of Kansas,https://www.topuniversities.com/sites/default/files/university-of-kansas_309_small.jpg,66,Public,Lawrence,23000,1865,17858642700,adm@ku.edu,ku.edu,"aerospace engineering, business, journalism, pharmacy","University of Kansas was founded in 1865 and they are popular for aerospace engineering, business, journalism and pharmacy.",False,True,True,True,True,True,True,True,False,True
74,"University of Maryland, College Park",https://www.topuniversities.com/sites/default/files/university-of-maryland-college-park_393_small.jpg,42,Public,College Park,38000,1856,13014051000,ApplyMaryland@umd.edu,umd.edu,"engineering, business, computer science, journalism","University of Maryland, College Park was founded in 1856 and they are popular for engineering, business, computer science and journalism.",False,True,True,True,True,True,True,True,False,True
75,University of Massachusetts Amherst,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-amherst_592560cf2aeae70239af4c0e_small.jpg,47,Public,Amherst,30000,1863,14135450111,mail@admissions.umass.edu,umass.edu,"business, computer science, nursing, hospitality management","University of Massachusetts Amherst was founded in 1863 and they are popular for business, computer science, nursing and hospitality management.",False,True,True,True,True,True,True,True,True,True
76,University of Michigan-Ann Arbor,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,15,Public,Ann Arbor,50000,1817,17347641817,ugadmiss@umich.edu,umich.edu,"business, engineering, political science, psychology","University of Michigan-Ann Arbor was founded in 1817 and they are popular for business, engineering, political science and psychology.",False,True,True,True,True,True,True,True,False,True
77,University of Minnesota Twin Cities,https://www.topuniversities.com/sites/default/files/university-of-minnesota_408_small.jpg,39,Public,Minneapolis,53000,1851,16126255000,admissions@umn.edu,umn.edu,"business, engineering, psychology, healthcare","University of Minnesota Twin Cities was founded in 1851 and they are popular for business, engineering, psychology and healthcare.",False,True,True,True,True,True,True,True,False,True
78,"University of Missouri, Columbia",https://www.topuniversities.com/sites/default/files/university-of-missouri-columbia_409_small.jpg,92,Public,Columbia,26000,1839,15738822121,admissions@missouri.edu,missouri.edu,"journalism, business, engineering, agriculture","University of Missouri, Columbia was founded in 1839 and they are popular for journalism, business, engineering and agriculture.",False,True,True,True,True,True,True,True,False,True
79,University of Nebraska - Lincoln,https://www.topuniversities.com/sites/default/files/university-of-nebraska-lincoln_819_small.jpg,97,Public,Lincoln,23000,1869,14024727211,admissions@unl.edu,unl.edu,"agriculture, business, engineering, journalism","University of Nebraska - Lincoln was founded in 1869 and they are popular for agriculture, business, engineering and journalism.",False,True,True,True,True,True,True,True,False,True
80,University of North Carolina at Chapel Hill,https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg,34,Public,Chapel Hill,35000,1789,19199622211,unchelp@admissions.unc.edu,unc.edu,"business, journalism, medicine, public health","University of North Carolina at Chapel Hill was founded in 1789 and they are popular for business, journalism, medicine and public health.",False,True,True,True,True,True,True,True,False,True
81,University of Notre Dame,https://www.topuniversities.com/sites/default/files/university-of-notre-dame_458_small.jpg,54,Private,Notre Dame,13000,1842,15746315000,admissions@nd.edu,nd.edu,"business, engineering, theology, architecture","University of Notre Dame was founded in 1842 and they are popular for business, engineering, theology and architecture.",False,True,True,True,True,False,True,True,False,True
82,University of Oklahoma,https://www.topuniversities.com/sites/default/files/university-of-oklahoma_467_small.jpg,98,Public,Norman,25000,1890,14053250311,admissions@ou.edu,ou.edu,"petroleum engineering, meteorology, business, aviation","University of Oklahoma was founded in 1890 and they are popular for petroleum engineering, meteorology, business and aviation.",False,True,True,True,True,True,True,True,False,True
