ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
17,Birla Institute of Technology,https://upload.wikimedia.org/wikipedia/en/d/d2/Birla_Institute_of_Technology_Mesra.png,82,Private,Jharkhand,13000,1955,916512275444,admissions@bitmesra.ac.in,bitmesra.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","A deemed university in Ranchi, Jharkhand, known for engineering and science programs.",N,N,Y,Y,N,N,Y,N,N,Y
18,"Birla Institute of Technology and Science, Pilani",https://upload.wikimedia.org/wikipedia/en/d/d3/BITS_Pilani-Logo.svg,19,Public,Rajasthan,16000,1964,911596255330,ipcdoffice@goa.bits-pilani.ac.in,bits-pilani.ac.in,"IT, Robotics, Space Tech, Engineering","A premier private university in Rajasthan, known for its engineering and science programs.",N,N,Y,Y,N,N,Y,N,N,Y
19,Calcutta University,https://upload.wikimedia.org/wikipedia/commons/7/76/Calcutta_University_Logo.svg,18,Public,West Bengal,18000,1857,913322410071,info@caluniv.ac.in,caluniv.ac.in,"Economics, Political Science, Astronomy, Law","One of the oldest universities in India, located in Kolkata, offering a wide range of programs across various disciplines.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
20,Calicut University,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-calicut_592560cf2aeae70239af4e21_large.jpg,89,Public,Kerala,300000,1968,914952287226,registrar@uoc.ac.in,uoc.ac.in,"Economics, Political Science, IT, Law","A public university in Kerala, offering a variety of undergraduate and postgraduate programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
21,Central University of Punjab,https://cup.edu.in/sites/default/files/inline-images/New_Logo_CUP.jpg,83,Public,Punjab,16000,2009,911652281000,registrar@cup.edu.in,cup.edu.in,"Social Sciences, IT, Economics, Political Science","A central university in Bathinda, Punjab, focusing on research-oriented postgraduate programs.",Y,Y,Y,Y,Y,N,Y,Y,N,Y
22,Central University of Tamil Nadu,https://upload.wikimedia.org/wikipedia/en/1/1e/Logo_Central_University_of_Tamil_Nadu.png,99,Public,Tamil Nadu,2000,2009,914362264101,registrar@cutn.ac.in,cutn.ac.in,"IT, Social Sciences, Economics, Political Science","A central university in Thiruvarur, Tamil Nadu, offering programs in science, humanities, and social sciences.",Y,Y,Y,Y,Y,N,Y,Y,N,Y
23,Chandigarh University,https://upload.wikimedia.org/wikipedia/commons/b/b0/Chandigarh_University_Seal.png,20,Private,Punjab,31000,2012,918146948000,cucet@cumail.in,cuchd.in,"IT, Cybersecurity, Health Tech, Business Analytics","A private university in Punjab, offering a wide range of programs with a focus on innovation and global exposure.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
24,Chettinad Academy of Research and Education,https://convocation.care.edu.in/dist/img/care_logo.png,79,Private,Tamil Nadu,3000,2005,914447420000,info@care.edu.in,care.edu.in,"Medicine, Health Tech, IT, Biotechnology","A deemed university in Chennai, specializing in medical and health sciences education.",N,N,Y,Y,N,Y,Y,N,N,Y
25,Chitkara University,https://www.chitkara.edu.in/wp-content/uploads/2017/11/chitkara-university-logo.png,91,Private,Punjab,17000,2010,911725072600,admissions@chitkara.edu.in,chitkara.edu.in,"IT, Business Analytics, Health Tech, Law","A private university in Punjab, offering diverse programs in engineering, management, and health sciences.",N,Y,Y,Y,Y,Y,Y,Y,Y,Y
26,Christ University,https://upload.wikimedia.org/wikipedia/en/d/dd/Official_Logo_of_CHRIST%28Deemed_to_be_University%29%2C_bangalore.jpg,60,Private,Karnataka,31000,1969,918040129100,admissions@christuniversity.in,christuniversity.in,"Business Analytics, Economics, IT, Law","A private deemed university in Bengaluru, offering a wide range of programs with a focus on holistic development.",N,Y,Y,N,Y,N,Y,Y,Y,Y
27,Cochin University of Science and Technology,https://upload.wikimedia.org/wikipedia/en/6/6f/Cochin_University_of_Science_and_Technology_Logo.png,34,Public,Kerala,9000,1971,914842577290,registrar@cusat.ac.in,cusat.ac.in,"Marine Science, IT, Engineering, Space Tech","Located in Kochi, it specializes in science, engineering, and technology education and research.",N,Y,Y,Y,N,N,Y,Y,N,Y
28,Datta Meghe Institute of Higher Education and Research,https://www.dmiher.edu.in/frontEnd/pages/images/DMIMSLogo.svg,42,Private,Maharashtra,7000,1990,917122805000,info@dmimsu.edu.in,dmiher.edu.in,"Medicine, Health Tech, IT, Biotechnology","Located in Wardha, Maharashtra, DMIHER offers multidisciplinary programs with a focus on medical and engineering education.",N,N,Y,Y,N,Y,Y,N,N,Y
29,Delhi Technological University,https://upload.wikimedia.org/wikipedia/en/b/b5/DTU%2C_Delhi_official_logo.png,48,Public,Delhi,15000,1941,911127871018,registrar@dtu.ac.in,dtu.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","Formerly Delhi College of Engineering, DTU is a premier technical university in Delhi, offering engineering and technology programs.",N,N,N,Y,N,N,Y,N,N,Y
30,Dr. D. Y. Patil Vidyapeeth (DPU),https://media.licdn.com/dms/image/v2/D4D0BAQGOBV1EFSu-pA/company-logo_200_200/company-logo_200_200/0/1708511862104/dpu_vidyapeeth_logo?e=2147483647&v=beta&t=WItjmT6TZYESYmMSJa1IDjnaIUV0_0h1UmS0HXwl77k,44,Private,Maharashtra,5000,2003,912027805000,info@dpu.edu.in,dpu.edu.in,"Medicine, Health Tech, IT, Biotechnology","A private university in Pune, Maharashtra, known for its medical, dental, and engineering programs.",N,N,Y,Y,N,Y,Y,N,N,Y
31,G.B. Pant University of Agriculture and Technology,https://upload.wikimedia.org/wikipedia/en/9/90/Pantnagar_logo.jpg,88,Public,Uttarakhand,4000,1960,915944233000,registrar@gbpuat.ac.in,gbpuat.ac.in,"Agriculture, IT, Biotechnology, Food Science","India's first agricultural university, located in Pantnagar, Uttarakhand, pioneering agricultural education and research.",Y,N,Y,Y,N,N,Y,N,N,Y
32,Gauhati University,https://upload.wikimedia.org/wikipedia/en/7/78/Gauhati_University_Logo.jpeg,40,Public,Assam,23000,1948,913612570415,registrar@gu.ac.in,gauhati.ac.in,"Social Sciences, Law, Political Science, IT","The oldest university in Northeast India, located in Guwahati, Assam, offering diverse academic programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
33,Graphic Era University,https://dl.geu.ac.in/uploads/image/KWqx6liP-geu-logo.webp,52,Private,Uttarakhand,8000,1993,911352644100,info@geu.ac.in,geu.ac.in,"IT, Cybersecurity, Business Analytics, Health Tech 212","A private university in Dehradun, known for its engineering, management, and computer science programs.",N,Y,Y,Y,Y,N,Y,Y,N,Y
34,Gujarat University,https://upload.wikimedia.org/wikipedia/en/f/f8/Gujarat_University_Logo.png,76,Public,Gujarat,300000,1949,917926300330,registrar@gujaratuniversity.ac.in,gujaratuniversity.ac.in,"Economics, Political Science, IT, Law","A public university in Ahmedabad, offering undergraduate and postgraduate programs across various disciplines.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
35,Guru Gobind Singh Indraprastha University,https://upload.wikimedia.org/wikipedia/en/b/b8/GGSIU_logo.svg,80,Public,Delhi,93000,1998,911125302167,registrar@ipu.ac.in,ipu.ac.in,"IT, Cybersecurity, Business Analytics, Law","A public university in Delhi, offering professional education in engineering, law, and management.",N,Y,Y,Y,Y,Y,Y,Y,Y,Y
36,Homi Bhabha National Institute,https://upload.wikimedia.org/wikipedia/en/3/3a/Homi_Bhabha_National_Institute_logo.png,16,Public,Maharashtra,3000,2005,912225561000,hbnc@hbnc.ac.in,hbni.ac.in,"Nuclear Science, Physics, Mathematics, IT","A specialized university under the Department of Atomic Energy, focusing on nuclear science and engineering research.",N,N,N,Y,N,N,Y,N,N,Y
37,"Indian Institute of Science, Bengaluru",https://iisc.ac.in/wp-content/uploads/2020/08/IISc_Master_Seal_Black_Transparent.png,1,Public,Karnataka,5000,1909,918022932228,registrar@iisc.ac.in,iisc.ac.in,"IT, Quantum Computing, Aerospace Engineering, Nanotechnology","A premier research university in Bengaluru, specializing in science, engineering, and interdisciplinary studies.",N,N,N,Y,N,N,Y,N,N,Y
38,Institute of Chemical Technology,https://upload.wikimedia.org/wikipedia/en/1/13/Institute_of_Chemical_Technology_logo.png,35,Public,Maharashtra,2000,1933,912233611111,registrar@ictmumbai.edu.in,ictmumbai.edu.in,"Chemical Engineering, Biotechnology, IT","A premier institute in Mumbai focusing on chemical engineering, technology, and applied sciences.",N,N,N,Y,N,N,Y,N,N,Y
39,International Institute of Information Technology Hyderabad,https://upload.wikimedia.org/wikipedia/en/e/e1/International_Institute_of_Information_Technology%2C_Hyderabad_logo.png,74,Academy,Telangana,2000,1998,914066531000,admissions@iiit.ac.in,iiit.ac.in,"IT, Data Science, Cybersecurity, Business Analytics","An autonomous university in Hyderabad, specializing in information technology and computer science.",N,N,Y,Y,N,N,Y,N,N,Y
40,Jadavpur University,https://upload.wikimedia.org/wikipedia/en/5/58/Jadavpur_University_Logo.svg,9,Public,West Bengal,13000,1955,913324146666,registrar@jadavpuruniversity.in,jadavpuruniversity.in,"Engineering, Humanities, Social Sciences, Nanotechnology","A state university in Kolkata, known for its strong engineering and arts programs.",N,Y,Y,Y,Y,N,Y,Y,N,Y
41,"Jain University, Bangalore",https://upload.wikimedia.org/wikipedia/commons/9/98/Jain-University-Bangalore-India-Logo.png,65,Private,Karnataka,21000,1990,918043430800,admissions@jainuniversity.ac.in,jainuniversity.ac.in,"IT, Data Science, Business Analytics, Health Tech","A private deemed-to-be university in Bangalore, offering over 200 programs across various disciplines.",N,Y,Y,Y,Y,N,Y,Y,Y,Y
42,Jamia Hamdard,https://upload.wikimedia.org/wikipedia/en/4/4d/Jamia_Hamdard_Logo.svg,41,Private,Delhi,5000,1963,911126059688,registrar@jamiahamdard.ac.in,jamiahamdard.edu,"Pharmacy, Medicine, Health Tech, IT","A leading university in Delhi, established by Hakim Abdul Hameed, specializing in Unani medicine, pharmacy, and health sciences.",N,N,Y,N,N,Y,Y,N,N,Y
43,Jamia Millia Islamia,https://www.jmi.ac.iNAssets/images/logo/favicon.svg,3,Public,Delhi,10000,1920,911126981717,registrar@jmi.ac.in,jmi.ac.in,"Law, Political Science, Engineering, Islamic Studies","A public university in Delhi, offering diverse programs with a focus on inclusive education and cultural diversity.",N,Y,Y,Y,Y,Y,Y,Y,Y,Y
44,Jawaharlal Nehru University,https://upload.wikimedia.org/wikipedia/commons/f/fb/Jawaharlal_Nehru_University_Logo_vectorized.svg,2,Public,Delhi,9000,1969,911126704090,registrar@mail.jnu.ac.in,jnu.ac.in,"Social Sciences, Economics, International Relations, Political Science","A central university in New Delhi, known for its strong emphasis on social sciences, humanities, and interdisciplinary research.",N,N,Y,N,Y,N,Y,Y,N,Y
45,JSS Academy of Higher Education and Research,https://media.licdn.com/dms/image/v2/C4D0BAQEXGtqKwmme9w/company-logo_200_200/company-logo_200_200/0/1644504808118?e=2147483647&v=beta&t=1qID3V4EpsGFi7O4wg6bWLmdvsDajMeQ7coETaPfBJ0,24,Private,Karnataka,6000,2008,918212548360,registrar@jssuni.edu.in,jssuni.edu.in,"Medicine, Pharmacy, Health Tech, Biotechnology","Established in Mysuru, it offers programs in medicine, pharmacy, and health sciences.",Y,N,Y,Y,N,Y,Y,N,N,Y
46,Kalasalingam Academy of Research and Education,https://upload.wikimedia.org/wikipedia/en/5/53/Kalasalingam_Academy_of_Research_and_Education_logo.png,30,Private,Tamil Nadu,5000,1984,914562250000,info@kalasalingam.ac.in,kalasalingam.ac.in,"IT, Medicine, Engineering, Law","Situated in Krishnankoil, it offers programs in engineering and technology.",Y,N,Y,Y,N,Y,Y,N,N,Y
47,Kalinga Institute of Industrial Technology,https://upload.wikimedia.org/wikipedia/en/e/ef/KIIT_logo.svg,15,Private,Odisha,40000,1992,916742725113,registrar@kiit.ac.in,kiit.ac.in,"Engineering, Medicine, Law, Management","A private deemed university in Bhubaneswar, Odisha, known for its engineering, management, and law programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
48,Kerala University,https://upload.wikimedia.org/wikipedia/commons/d/da/Kerala_University_Emblem.png,21,Public,Kerala,84000,1937,9188526671,helpdesk@keralauniversity.ac.in,keralauniversity.ac.in,"Ayurveda, Marine Biology, Social Sciences, Law","Established as the University of Travancore, it is the first university in Kerala and among the first 16 in India.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
49,King George's Medical University,https://upload.wikimedia.org/wikipedia/en/9/93/King_George%27s_Medical_University_Logo.png,53,Public,Uttar Pradesh,2000,1905,915222257540,registrar@kgmu.edu.in,kgmu.org,"Medicine, Health Tech, Nursing, Dentistry 313","A premier medical university in Lucknow, offering undergraduate and postgraduate medical education.",N,N,N,N,N,Y,N,N,N,N
50,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),https://upload.wikimedia.org/wikipedia/en/7/78/KL_University_logo.svg,22,Private,Andhra Pradesh,17000,1980,918662529000,info@kluniversity.in,klh.edu.in,"IT, Data Science, Engineering, Business Analytics","Founded as K L College of Engineering, it became a deemed university in 2009, offering a wide range of programs.",N,N,Y,Y,N,N,Y,N,N,Y
51,Lovely Professional University,https://upload.wikimedia.org/wikipedia/en/3/3a/Lovely_Professional_University_logo.png,27,Private,Punjab,35000,2006,911824517000,admissions@lpu.in,lpu.in,"IT, Robotics, Business Analytics, Health Tech","Located in Phagwara, it offers diverse programs and is known for its infrastructure.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
52,Madan Mohan Malaviya University of Technology (MMMUT),https://www.mmmut.ac.in/images/logo3.jpg,94,Public,Uttar Pradesh,4000,2013,915522766700,registrar@mmmut.ac.in,mmmut.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","A public technical university in Gorakhpur, Uttar Pradesh, offering engineering and management programs.",N,N,Y,Y,N,N,Y,N,N,Y
53,Madurai Kamaraj University,https://upload.wikimedia.org/wikipedia/en/8/85/Madurai_Kamaraj_University_logo.jpg,63,Public,Tamil Nadu,130000,1966,914522458471,registrar@mkuniversity.org,mkuniversity.ac.in,"IT, Biotechnology, Economics, Political Science","A state university in Tamil Nadu, recognized for excellence in teaching, research, and outreach.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
54,Maharishi Markandeshwar,https://upload.wikimedia.org/wikipedia/en/c/c9/Maharishi_Markandeshwar_University%2C_Sadopur_logo.png,71,Private,Haryana,10000,1993,911672274200,info@mmumullana.org,mmumullana.org,"Medicine, Health Tech, IT, Biotechnology","A private deemed university in Haryana, offering diverse programs in engineering, medicine, and management.",N,Y,Y,Y,Y,Y,Y,Y,Y,Y
55,Mahatma Gandhi University,https://upload.wikimedia.org/wikipedia/eNA/ad/Mahatma_Gandhi_University%2C_Kerala_Logo.svg,37,Public,Kerala,128000,1983,914812731050,info@mgu.ac.in,mgu.ac.in,"Social Sciences, Law, Medicine, IT","Located in Kottayam, Kerala, it provides diverse academic programs and has a strong research orientation.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
56,Manav Rachna International Institute of Research and Studies,https://upload.wikimedia.org/wikipedia/en/6/69/Manav_Rachna_International_University_%28logo%29.png,92,Private,Haryana,5000,2008,911294259000,admissions@mriu.edu.in,manavrachna.edu.in,"IT, Robotics, Health Tech, Business Analytics","A deemed university in Faridabad, Haryana, offering programs in engineering, management, and health sciences.",N,Y,Y,Y,Y,Y,Y,Y,Y,Y
57,Manipal Academy of Higher Education (MAHE),https://images.seeklogo.com/logo-png/50/1/manipal-academy-of-higher-education-logo-png_seeklogo-507697.png,4,Private,Karnataka,27000,1953,918202922323,registrar@manipal.edu,manipal.edu,"Medicine, Health Tech, Engineering, Biotechnology","A private deemed university in Karnataka, known for its medical, engineering, and management programs.",N,Y,Y,Y,Y,Y,Y,Y,Y,Y
58,"Manipal University, Jaipur",https://upload.wikimedia.org/wikipedia/en/1/1f/Manipal_University_Jaipur_logo.png,64,Private,Rajasthan,10000,2011,911413999100,admissions@jaipur.manipal.edu,manipaldubai.com,"IT, Cybersecurity, Health Tech, Business Analytics","Established by the Manipal Education Group, offering diverse programs in Jaipur.",N,Y,Y,Y,Y,N,Y,Y,Y,Y
59,"Manonmaniam Sundaranar University, Tirunelveli",https://upload.wikimedia.org/wikipedia/en/0/0e/Manonmaniam_Sundaranar_University_logo.jpeg,93,Public,Tamil Nadu,3000,1990,914622330000,registrar@mssw.in,msuniv.ac.in,"IT, Economics, Political Science, Law","A public university in Tirunelveli, Tamil Nadu, offering programs in arts, science, and technology.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
60,Mizoram University,https://upload.wikimedia.org/wikipedia/en/e/e5/Mizoram_University_logo.png,77,Public,Mizoram,4000,2001,913892331601,registrar@mzu.edu.in,mzu.edu.in,"Social Sciences, Law, Political Science, IT","A central university in Aizawl, Mizoram, focusing on higher education and research.",Y,Y,Y,Y,Y,N,Y,Y,Y,Y
61,Mumbai University,https://upload.wikimedia.org/wikipedia/en/7/7a/University_of_Mumbai_coat_of_arms.svg,61,Public,Maharashtra,549000,1857,912226543000,registrar@mu.ac.in,mu.ac.in,"Economics, Political Science, IT, Law","One of India's oldest universities, offering diverse programs and known for its sprawling campuses.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
62,Mysore University,https://upload.wikimedia.org/wikipedia/en/2/2c/Coat_of_arms_of_the_University_of_Mysore.svg,54,Public,Karnataka,53000,1916,918212419356,registrar@uni-mysore.ac.in,uni-mysore.ac.in,"Economics, Political Science, IT, Law","The first university in Karnataka, offering a wide range of undergraduate and postgraduate programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
63,Netaji Subhas University of Technology (NSUT),https://upload.wikimedia.org/wikipedia/en/e/e9/Netaji_Subhas_University_of_Technology.svg,100,Public,Delhi,7000,1983,911125099000,registrar@nsut.ac.in,nsut.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","A public technical university in Delhi, offering programs in engineering and technology.",N,N,Y,Y,N,N,Y,N,N,Y
64,NITTE,https://upload.wikimedia.org/wikipedia/en/1/1e/NITTE_Deemed_Univerity_logo.svg,66,Private,Karnataka,25000,2008,918242205300,admissions@nitte.edu.in,nitte.edu.in,"Medicine, Health Tech, IT, Biotechnology","Located in Mangaluru, it offers a range of programs in health professions education, engineering, and management.",N,N,Y,Y,N,Y,Y,N,N,Y
65,Osmania University,https://upload.wikimedia.org/wikipedia/en/2/29/Osmania_University_Logo.png,43,Public,Telangana,320000,1917,914027682363,vc@osmania.ac.in,osmania.ac.in,"IT, Economics, Political Science, Law","Established by the 7th Nizam of Hyderabad, it is one of the oldest universities in India, offering a wide range of programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
66,Panjab University,https://puchd.ac.iNAsset/pu-logo.png,38,Public,Chandigarh,18000,1947,911722534818,registrar@pu.ac.in,pu.ac.in,"Economics, Political Science, IT, Medicine","A historic university in Chandigarh, offering a broad spectrum of programs and known for its research contributions.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
67,Periyar University,https://upload.wikimedia.org/wikipedia/en/8/8a/Periyar_University_logo.png,56,Public,Tamil Nadu,140000,1997,914242270560,registrar@periyaruniversity.ac.in,periyaruniversity.ac.in,"IT, Biotechnology, Economics, Political Science 6","A public university in Salem, Tamil Nadu, offering programs in arts, science, and technology.",Y,Y,Y,Y,Y,N,Y,Y,Y,Y
68,Punjab Agricultural University,https://upload.wikimedia.org/wikipedia/en/d/dc/Punjab_Agricultural_University_logo.png,57,Public,Punjab,6000,1962,911612401960,registrar@pau.edu,pau.edu,"Agriculture, Biotechnology, IT, Food Science","A leading agricultural university in Ludhiana, focusing on agricultural education and research.",Y,N,Y,N,N,N,Y,N,N,Y
69,S.R.M. Institute of Science and Technology,https://upload.wikimedia.org/wikipedia/en/7/7a/SRM_Institute_of_Science_and_Technology_Logo.svg,12,Private,Tamil Nadu,57000,1985,914427451622,admissions.india@srmuniv.ac.in,srmist.edu.in,"IT, Medicine, Engineering, Space Tech","A leading private university in Chennai, known for its engineering, medical, and management programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
70,Sant Longowal Institute of Engineering and Technology,http://www.sliet.ac.in/silver-jublee/images/loogo.png,85,Public,Punjab,4000,1989,911672280100,registrar@sliet.ac.in,sliet.ac.in,"IT, Engineering, Cybersecurity, Business Analytics","An autonomous institute in Punjab, providing technical education in engineering and technology.",N,N,Y,Y,N,N,Y,N,N,Y
71,Sathyabama Institute of Science and Technology,https://upload.wikimedia.org/wikipedia/en/1/13/Sathyabama_Institute_of_Science_and_Technology_logo.png,51,Private,Tamil Nadu,16000,1987,914424500500,info@sathyabama.ac.in,sathyabama.ac.in,"IT, Space Tech, Medicine, Law 111","A private, STEM-focused deemed university in Chennai, offering multi-disciplinary programs in engineering, science, and technology.",N,Y,Y,Y,Y,Y,Y,Y,Y,Y
72,Saveetha Institute of Medical and Technical Sciences,https://upload.wikimedia.org/wikipedia/en/2/21/Saveetha_Institute_of_Medical_And_Technical_Sciences_Logo.png,11,Private,Tamil Nadu,15000,2005,914447432500,info@saveetha.com,saveetha.com,"Dentistry, Medicine, Health Tech, Biotechnology","A private deemed university in Chennai, offering diverse programs in medical, dental, engineering, and management fields.",N,N,Y,Y,N,Y,Y,N,N,Y
