ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology,theology
28,University of Divinity,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/University_of_Divinity_Seal.svg/330px-University_of_Divinity_Seal.svg.png,NA,Private,Australia National,1400,1910,61398533177,enquiries@divinity.edu.au,https://divinity.edu.au/,theology,University of Divinity was founded in 1910 and they are popular for theology.,False,False,False,False,False,False,False,False,False,False,True
29,University of Melbourne,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/The_University_of_Melbourne_Coat_of_Arms.svg/330px-The_University_of_Melbourne_Coat_of_Arms.svg.png,1,Public,Victoria (state),54000,1853,61390355511,NA,https://www.unimelb.edu.au/,"law, medicine, MBA","University of Melbourne was founded in 1853 and they are popular for law, medicine and MBA.",True,True,True,True,True,True,True,True,True,True,True
30,University of New England,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Univ_of_New_England_Australia_arms.png/270px-Univ_of_New_England_Australia_arms.png,26,Public,New South Wales,23000,1831,61267733333,NA,https://www.une.edu.au/,agriculture,University of New England was founded in 1831 and they are popular for agriculture.,True,False,True,False,True,True,True,True,True,True,False
31,University of New South Wales,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/University_of_New_South_Wales_Crest_Variant_2022.png/195px-University_of_New_South_Wales_Crest_Variant_2022.png,6,Public,New South Wales,71000,1949,61293851000,NA,https://www.unsw.edu.au/,"engineering, solar tech, business","University of New South Wales was founded in 1949 and they are popular for engineering, solar tech and business.",True,True,True,True,True,True,True,True,False,True,False
32,University of Newcastle,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/The_University_of_Newcastle_Coat_of_Arms.svg/300px-The_University_of_Newcastle_Coat_of_Arms.svg.png,14,Public,New South Wales,29000,1965,61249215000,NA,https://www.newcastle.edu.au/,"architecture, renewable energy",University of Newcastle was founded in 1965 and they are popular for architecture and renewable energy.,True,True,True,True,True,True,True,True,True,True,False
33,University of Notre Dame Australia,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/The_University_of_Notre_Dame_Australia_Crest.svg/270px-The_University_of_Notre_Dame_Australia_Crest.svg.png,39,Public,Western Australia,12000,1989,NA, international@nd.edu.au,https://www.notredame.edu.au/,"medicine, law",University of Notre Dame Australia was founded in 1989 and they are popular for medicine and law.,False,True,True,False,True,True,True,True,True,True,True
34,The University of Queensland,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/University_of_Queensland_%28crest%29.svg/270px-University_of_Queensland_%28crest%29.svg.png,5,Public,Queensland,56000,1909,61733469872,NA,https://www.uq.edu.au/,"biomed, mining, AI","The University of Queensland was founded in 1909 and they are popular for biomed, mining and AI.",True,True,True,True,True,True,True,True,True,True,True
35,University of South Australia,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Logo_of_the_University_of_South_Australia.svg/345px-Logo_of_the_University_of_South_Australia.svg.png,20,Public,South Australia,35000,1991,61883020114,NA,https://www.unisa.edu.au/,"MBA, health sciences",University of South Australia was founded in 1991 and they are popular for MBA and health sciences.,True,True,True,True,True,True,True,True,True,True,False
36,University of Southern Queensland,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/University_of_Southern_Queensland_Coat_of_Arms.svg/270px-University_of_Southern_Queensland_Coat_of_Arms.svg.png,24,Public,Queensland,21000,1967,61746312285,study@unisq.edu.au ,https://www.unisq.edu.au/,engineering ,University of Southern Queensland was founded in 1967 and they are popular for engineering .,True,True,True,True,True,True,True,True,True,True,False
37,University of the Sunshine Coast,https://upload.wikimedia.org/wikipedia/en/f/fb/Logo_of_University_of_the_Sunshine_Coast.png,37,Public,Queensland,19000,1994,61754302890,information@usc.edu.au,https://www.usc.edu.au/,"sustainability, nursing",University of the Sunshine Coast was founded in 1994 and they are popular for sustainability and nursing.,True,True,True,True,True,True,True,True,True,True,False
38,The University of Sydney,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/University_of_Sydney_coat_of_arms.png/270px-University_of_Sydney_coat_of_arms.png,3,Public,New South Wales,75000,1850,61286271444,NA,https://www.sydney.edu.au/,"medicine, arts, engineering","The University of Sydney was founded in 1850 and they are popular for medicine, arts and engineering.",True,True,True,True,True,True,True,True,True,True,True
39,University of Tasmania,https://upload.wikimedia.org/wikipedia/en/6/60/UTasLogo.png,14,Public,Tasmania,30000,1890,61362266200,NA,https://www.utas.edu.au/,"antarctic research, maritime studies",University of Tasmania was founded in 1890 and they are popular for antarctic research and maritime studies.,True,True,True,True,True,True,True,True,True,True,False
40,University of Technology Sydney,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/University_of_Technology_Sydney_emblem.svg/195px-University_of_Technology_Sydney_emblem.svg.png,9,Public,New South Wales,52000,1988,61295142000,NA,https://www.uts.edu.au/,IT,University of Technology Sydney was founded in 1988 and they are popular for IT.,True,True,True,True,True,True,True,True,True,True,False
41,The University of Western Australia,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/UWA_crest.svg/270px-UWA_crest.svg.png,8,Public,Western Australia,30000,1911,61864886000,NA,https://www.uwa.edu.au/,"marine science, indigenous studies",The University of Western Australia was founded in 1911 and they are popular for marine science and indigenous studies.,True,True,True,True,True,True,True,True,True,True,False
42,University of Wollongong,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Shield_of_the_University_of_Wollongong.svg/225px-Shield_of_the_University_of_Wollongong.svg.png,11,Public,New South Wales,32000,1951,61242213218,NA,https://www.uow.edu.au/,materials engineering,University of Wollongong was founded in 1951 and they are popular for materials engineering.,True,True,True,True,True,True,True,True,True,True,False
43,Victoria University,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Victoria_University_Australia_Logo.png/330px-Victoria_University_Australia_Logo.png,26,Public,Victoria (state),46000,1916,61399196100,NA,https://www.vu.edu.au/,"trades, sports science",Victoria University was founded in 1916 and they are popular for trades and sports science.,True,True,True,True,True,True,True,True,True,True,False
44,Western Sydney University,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Western_Sydney_University_Crest.png/270px-Western_Sydney_University_Crest.png,20,Public,New South Wales,48000,1989,61298525222,internationalstudy@westernsydney.edu.au,https://www.westernsydney.edu.au/,"medicine, sustainability",Western Sydney University was founded in 1989 and they are popular for medicine and sustainability.,True,True,True,True,True,True,True,True,True,True,False
